keyword	volume	kd	cpc	intent	position	url
airtable deep match	40		2.21	informational	6	/airtable-deep-match-ai-powered-automatic-record-linking/
rollup airtable	40		0	transactional	8	/airtables-rollup-field-a-quick-guide/
airtable automation limits	70		0	informational	9	/airtable-automation-limits-what-you-need-to-know/
airtable rollup field	30		0.27	transactional	9	/airtables-rollup-field-a-quick-guide/
airtable field types	50		0.22	navigational	11	/airtable-field-types-a-friendly-guide-to-unlock-the-power-of-your-data/
airtable rollup	90		0	transactional	11	/airtables-rollup-field-a-quick-guide/
airtable fill out	30		9.16	transactional	12	/fillout-forms-vs-airtable-forms-which-one-should-you-use-with-airtable/
fill out airtable	50		2.63	navigational	13	/fillout-forms-vs-airtable-forms-which-one-should-you-use-with-airtable/
how to download airtable to excel	70		5.26	informational	13	/how-to-export-airtable-to-excel/
airtable automations limit	70		0	navigational	14	/airtable-automation-limits-what-you-need-to-know/
airtable count number of linked records	40		0	informational	14	/airtables-count-field-how-to-use-it-and-why-its-a-game-changer/
airtable inventory	50		4.24	navigational	15	/airtable-for-inventory-management/
airtable rollup formula	30		0	informational	15	/airtables-rollup-field-a-quick-guide/
airtable automation delete record	40		0	navigational	16	/airtable-automation-delete-record/
airtable automation limit	70		0	informational	16	/airtable-automation-limits-what-you-need-to-know/
airtable group	30	4	1.08	navigational	16	/airtables-grouping-feature-a-quick-guide/
airtable groups	30		0	navigational	16	/airtables-grouping-feature-a-quick-guide/
airtable templates	590	10	3.08	navigational	16	/airtable-templates-why-to-use-them-where-to-find-them/
business software database	70		5.28	commercial	19	/best-database-software-for-small-business/
small database	40	21	0	informational	19	/best-database-software-for-small-business/
airtable plus plan	50	13	2.66	commercial	20	/airtable-pricing-compare-plans-and-choose-the-best-one/
airtable lookup field	70		0.21	navigational	21	/airtables-lookup-field-a-quick-guide/
airtable meaning	70	25	0	informational	21	/understanding-airtable-key-concepts-and-terminology/
download airtable to excel	90		2.55	navigational	22	/how-to-export-airtable-to-excel/
airtable inventory management	90		6.95	navigational	24	/airtable-for-inventory-management/
alternatives to airtable	110		16.44	commercial	24	/airtable-alternatives-best-options-to-organize-your-work/
